dates,so2,no2,rspm,Temperature
2011-01-01,6.628994082840237,19.555621301775155,95.46449704142012,18.32
2011-07-01,5.8643203883495145,16.35970873786409,67.77111650485438,27.6
2011-06-01,7.556386292834892,15.780685358255452,67.66043613707166,28.6
2011-03-01,6.609512195121953,17.655609756097565,88.26341463414634,24.11
2011-05-01,7.004063205417606,18.8018058690745,89.6056433408578,28.92
2011-11-01,6.804065040650404,19.251761517615186,96.78672086720869,22.84
2011-10-01,6.460144927536234,18.288405797101447,86.02487922705315,25.51
2011-09-01,6.307455012853474,16.10668380462724,68.89974293059126,26.7
2013-04-01,11.4754794520548,19.616666666666667,88.65182648401826,26.97
2013-08-01,9.77461267605634,16.376267605633807,72.84246478873239,27.22
2013-12-01,9.863604240282687,15.867455830388685,76.36943462897527,19.69
2013-02-01,10.460357142857143,20.2879081632653,93.24056122448978,21.07
2013-01-01,10.717704081632654,21.89954081632653,100.04346938775508,18.88
2013-07-01,10.04409090909091,16.97780991735537,74.74367768595042,27.5
2013-06-01,10.006814516129035,16.791693548387094,74.32798387096774,28.24
2013-03-01,10.978352059925095,20.900000000000006,89.24187265917604,24.53
2013-05-01,11.12444759206799,18.373796033994335,87.97592067988668,29.06
2013-11-01,10.524318181818183,17.09984848484849,76.3535606060606,22.18
2013-10-01,11.076702898550726,16.725579710144924,71.1608695652174,25.63
2013-09-01,9.97448559670782,16.022222222222222,72.76131687242798,26.87
2014-01-01,10.12190304,25.94137971,115.36051299999998,18.81
2014-02-01,9.134411408,24.68471986,107.33459340000002,20.35
2014-03-01,9.334489578,24.54624159,107.30542920000002,23.34
2014-04-01,9.521922155,24.47821158,104.8470338,26.91
2014-05-01,9.416317268,24.42838645,102.45400140000001,28.45
2014-06-01,8.790527967000001,23.21435964,98.61461492,29.42
2014-07-01,8.997588787,22.72672706,88.61347846,28.07
2014-08-01,8.215044843,22.29879073,89.09928351,27.42
2014-09-01,8.43583472,23.12378906,91.25679238,26.61
2014-10-01,9.271314838,24.61652711,105.31442709999999,25.38
2014-11-01,8.646173382,26.04366391,112.1085925,22.53
2014-12-01,9.099608131,26.05496922,115.9300293,19.5
2015-01-01,9.252625924,25.88567917,109.892597,19.02
2015-02-01,9.19960072,25.05386225,110.2800896,21.23
2015-03-01,8.977774067,23.82308654,104.1238533,23.52
2015-04-01,8.454570962,23.28595027,106.500759,26.52
2015-05-01,8.455006712000001,23.02124773,105.38040090000001,28.82
2015-06-01,7.929884763,21.32628162,89.67231676,28.15
2015-07-01,7.539802535,20.78499224,78.90023566,28.03
2015-08-01,7.6645167370000005,20.60262491,76.67657677,27.64
2015-09-01,7.625425311,21.79141291,86.97802402,27.04
2015-10-01,8.370018217,24.08875557,100.5499494,25.82
2015-11-01,8.897189362,26.25574395,116.5956668,22.95
2015-12-01,9.030675086,27.20591285,121.507433,20.21
